station_origin,station_destination,flows,population,jobs,distance
Hornchurch,Oval,2,1708,2544,27390.32255
Oval,Hornchurch,0,3619,451,27390.32255
Gants Hill,Upminster,0,5243,1132,27391.22241
Upminster,Gants Hill,0,727,601,27391.22241
Eastcote,Wimbledon Park,1,2525,596,27392.26288
Dagenham East,Gloucester Road,3,1924,5194,27394.70279
Gloucester Road,Dagenham East,1,4779,649,27394.70279
Perivale,Plaistow,0,1624,1049,27395.68979
Plaistow,Perivale,0,3634,532,27395.68979
Clapham Common,Stanmore,0,4909,983,27397.63323
Stanmore,Clapham Common,1,2641,2020,27397.63323
Debden,Regent's Park,3,1636,3364,27401.85189
Regent's Park,Debden,0,371,865,27401.85189
Canons Park,Stratford,26,2315,55954,27402.87953
Stratford,Canons Park,3,59311,526,27402.87953
Great Portland Street,Heathrow Terminals 2 & 3,0,1136,2406,27405.25334
Heathrow Terminals 2 & 3,Great Portland Street,1,2199,6936,27405.25334
Eastcote,Stockwell,1,2525,1623,27408.16658
Stockwell,Eastcote,0,10667,364,27408.16658
Hounslow West,Whitechapel,4,2073,17633,27414.24676
Whitechapel,Hounslow West,0,12281,401,27414.24676
Archway,Ruislip Gardens,0,5642,167,27417.04276
Hackney Wick,Harrow & Wealdstone,0,1477,1335,27420.36666
Harrow & Wealdstone,Hackney Wick,0,1741,1263,27420.36666
Chigwell,Gloucester Road,0,471,5194,27423.85048
Gloucester Road,Chigwell,0,4779,148,27423.85048
Embankment,Upminster Bridge,0,4081,568,27424.45409
Upminster Bridge,Embankment,16,780,10220,27424.45409
Northwood Hills,Manor House,0,1454,1311,27428.36297
Goodge Street,Heathrow Terminal 4,0,366,693,27428.79227
Heathrow Terminal 4,Goodge Street,0,811,6457,27428.79227
Ealing Broadway,Woodside Park,1,12853,745,27429.5308
Woodside Park,Ealing Broadway,5,3093,4846,27429.5308
South Wimbledon,West Finchley,0,3783,91,27433.44545
West Finchley,South Wimbledon,3,1550,1361,27433.44545
Liverpool Street,Ruislip,3,31473,257,27434.01507
Ruislip,Liverpool Street,33,1305,61122,27434.01507
Brent Cross,Gants Hill,1,1494,601,27434.21761
Gants Hill,Brent Cross,1,5243,450,27434.21761
Canary Wharf,Hounslow East,0,14632,843,27438.2115
Hounslow East,Canary Wharf,37,2173,58772,27438.2115
Finchley Central,Boston Manor,2,6268,892,27439.14434
Eastcote,Archway,0,2525,2193,27441.67709
Bank and Monument,Ruislip,0,29494,257,27442.58693
Ruislip,Bank and Monument,5,1305,78549,27442.58693
West Croydon,Kentish Town West,0,1332,1128,27443.25719
Bushey,Clapham Junction,2,238,4969,27443.92516
Clapham Junction,Bushey,0,6931,456,27443.92516
Heathrow Terminals 2 & 3,Waterloo,17,2199,23466,27445.21843
Waterloo,Heathrow Terminals 2 & 3,35,67372,2406,27445.21843
Chorleywood,West Hampstead,2,900,5856,27451.11211
West Hampstead,Chorleywood,3,10371,702,27451.11211
Moor Park,Piccadilly Circus,5,648,13641,27455.43347
Piccadilly Circus,Moor Park,0,1037,550,27455.43347
High Barnet,Dollis Hill,0,3271,847,27459.26977
Ealing Broadway,Upton Park,8,12853,1642,27460.98681
Upton Park,Ealing Broadway,20,5963,4846,27460.98681
Osterley,Northwood,0,1421,1018,27462.75788
Hainault,Wood Green,3,3117,2146,27466.36743
Wood Green,Hainault,1,6667,356,27466.36743
Queens Road Peckham,Kenton,0,1932,768,27466.40678
Ladbroke Grove,Newbury Park,1,2371,559,27466.68072
Newbury Park,Ladbroke Grove,0,4212,2131,27466.68072
Heathrow Terminal 5,Lancaster Gate,1,938,1820,27469.62406
Lancaster Gate,Heathrow Terminal 5,1,3514,975,27469.62406
Southgate,Tooting Broadway,7,3660,4506,27473.64791
Tooting Broadway,Southgate,2,9546,874,27473.64791
Elephant & Castle,Ruislip,0,9325,257,27475.87022
Ruislip,Elephant & Castle,1,1305,6427,27475.87022
Aldgate,Ruislip Manor,1,2886,408,27477.21318
Ruislip Manor,Aldgate,25,1399,7782,27477.21318
Ickenham,Westminster,19,737,15466,27481.06486
Westminster,Ickenham,0,1519,282,27481.06486
Heathrow Terminals 2 & 3,Vauxhall,14,2199,16242,27482.00987
Vauxhall,Heathrow Terminals 2 & 3,19,16218,2406,27482.00987
Archway,Hounslow West,0,5642,401,27482.43938
Hounslow West,Archway,0,2073,2193,27482.43938
Heathrow Terminal 4,Lambeth North,1,811,1319,27482.48923
Lambeth North,Heathrow Terminal 4,2,1114,693,27482.48923
South Ealing,Upton Park,0,2176,1642,27483.6706
Upton Park,South Ealing,1,5963,670,27483.6706
Kentish Town,Ruislip,0,2414,257,27488.665
Heathrow Terminal 4,Euston Square,0,811,8093,27488.7953
Greenford,Tottenham Hale,2,2711,3239,27491.25555
Tottenham Hale,Greenford,2,8867,1157,27491.25555
Upton Park,Wimbledon,26,5963,6295,27492.36977
Wimbledon,Upton Park,2,7073,1642,27492.36977
Lambeth North,Northwood,0,1114,1018,27492.39101
Northwood,Lambeth North,2,2027,1319,27492.39101
Debden,Hyde Park Corner,3,1636,2410,27496.32272
Hyde Park Corner,Debden,0,259,865,27496.32272
Hatton Cross,Willesden Green,1,1357,830,27496.85852
Willesden Green,Hatton Cross,0,5675,1219,27496.85852
Borough,Ruislip Manor,0,1346,408,27496.94478
Tooting Broadway,Totteridge & Whetstone,3,9546,287,27498.13368
Totteridge & Whetstone,Tooting Broadway,5,2301,4506,27498.13368
Green Park,Moor Park,0,2066,550,27502.16987
Moor Park,Green Park,11,648,26754,27502.16987
Debden,Stockwell,1,1636,1623,27503.49055
Stockwell,Debden,1,10667,865,27503.49055
Chorleywood,Park Royal,1,900,1552,27506.38902
Park Royal,Chorleywood,0,559,702,27506.38902
Chancery Lane,Theydon Bois,0,1148,98,27509.06475
Theydon Bois,Chancery Lane,27,677,15391,27509.06475
Hillingdon,Leicester Square,4,1337,8847,27509.67687
Leicester Square,Hillingdon,0,985,318,27509.67687
Finsbury Park,Upminster Bridge,0,24735,568,27510.11064
Upminster Bridge,Finsbury Park,0,780,6769,27510.11064
Kingsbury,Tooting Broadway,3,2727,4506,27513.74088
Tooting Broadway,Kingsbury,2,9546,1018,27513.74088
Barking,Oakwood,1,8200,423,27514.2571
Oakwood,Barking,0,1772,7004,27514.2571
Chalfont & Latimer,Dollis Hill,0,940,847,27517.17649
Dollis Hill,Chalfont & Latimer,0,2542,554,27517.17649
Bow Road,Sudbury Town,0,4005,218,27517.24702
Sudbury Town,Bow Road,0,1493,1193,27517.24702
Mansion House,West Ruislip,0,516,194,27518.68717
Hatton Cross,Northwick Park,1,1357,1713,27518.92454
Northwick Park,Hatton Cross,2,2114,1219,27518.92454
Morden,Park Royal,2,8035,1552,27520.79022
Park Royal,Morden,0,559,1447,27520.79022
Northwood Hills,Richmond,0,1454,5397,27521.84246
Richmond,Northwood Hills,0,5157,488,27521.84246
Oakwood,Turnham Green,1,1772,1515,27523.64381
Turnham Green,Oakwood,0,3650,423,27523.64381
Edgware,Southfields,0,3405,1351,27523.96792
Southfields,Edgware,0,5219,772,27523.96792
Temple,Heathrow Terminal 4,0,349,693,27530.42139
Angel,Theydon Bois,0,4199,98,27531.14795
Theydon Bois,Angel,2,677,8103,27531.14795
Barking,Cheshunt,0,8200,116,27531.24018
Cheshunt,Barking,0,171,7004,27531.24018
Canada Water,South Harrow,0,27026,387,27532.26711
South Harrow,Canada Water,1,1516,20443,27532.26711
Chesham,Northwick Park,4,932,1713,27541.49496
Northwick Park,Chesham,3,2114,243,27541.49496
South Harrow,Whitechapel,1,1516,17633,27544.29241
Whitechapel,South Harrow,0,12281,387,27544.29241
East Finchley,Northolt,2,5840,663,27546.39197
Northolt,East Finchley,1,3585,1253,27546.39197
Ealing Common,Watford,0,2003,961,27546.9124
Watford,Ealing Common,2,1400,915,27546.9124
Southwark,Theydon Bois,0,4882,98,27549.46616
Theydon Bois,Southwark,4,677,10326,27549.46616
Colliers Wood,Upney,0,5553,485,27550.2048
Upney,Colliers Wood,0,1741,865,27550.2048
Cockfosters,Ravenscourt Park,1,1000,1895,27553.56836
Ravenscourt Park,Cockfosters,0,1554,262,27553.56836
Temple,Theydon Bois,0,349,98,27554.18523
Theydon Bois,Temple,1,677,6780,27554.18523
Gunnersbury,Wanstead Park,0,2274,416,27557.51004
Wanstead Park,Gunnersbury,0,763,4775,27557.51004
Eastcote,Whitechapel,3,2525,17633,27558.09008
Whitechapel,Eastcote,0,12281,364,27558.09008
Pinner,Seven Sisters,2,2875,10191,27559.48914
Seven Sisters,Pinner,1,18780,292,27559.48914
Uxbridge,West Brompton,3,2764,5859,27563.2092
West Brompton,Uxbridge,4,3831,4316,27563.2092
Heathrow Terminal 4,Southwark,3,811,10326,27565.22711
Southwark,Heathrow Terminal 4,3,4882,693,27565.22711
Barkingside,Kilburn,0,1301,1953,27565.96703
Kilburn,Barkingside,0,4630,262,27565.96703
Dagenham East,Royal Oak,0,1924,856,27567.23075
Royal Oak,Dagenham East,0,1409,649,27567.23075
Hornchurch,Warren Street,2,1708,17309,27569.8907
Warren Street,Hornchurch,0,1913,451,27569.8907
Hounslow Central,Manor House,3,2213,1311,27574.9572
Manor House,Hounslow Central,3,5459,708,27574.9572
Balham,Dagenham Heathway,0,9619,1108,27575.01593
Dagenham Heathway,Balham,1,3372,3814,27575.01593
Northwood,Southwark,26,2027,10326,27575.12888
Southwark,Northwood,2,4882,1018,27575.12888
Bank and Monument,Hatton Cross,3,29494,1219,27575.42193
Hatton Cross,Bank and Monument,15,1357,78549,27575.42193
Edgware,Leyton,1,3405,1447,27575.46663
Leyton,Edgware,2,7651,772,27575.46663
Edgware Road,Uxbridge,6,2841,4316,27576.80021
Uxbridge,Edgware Road,6,2764,6868,27576.80021
Gants Hill,Putney Bridge,3,5243,2494,27579.48754
Putney Bridge,Gants Hill,0,2950,601,27579.48754
High Barnet,West Ham,0,3271,5487,27580.71915
West Ham,High Barnet,0,8879,953,27580.71915
Aldgate,Northwood Hills,1,2886,488,27581.67134
Northwood Hills,Aldgate,36,1454,7782,27581.67134
Mill Hill East,Wimbledon,0,1293,6295,27586.24851
Wimbledon,Mill Hill East,0,7073,681,27586.24851
Grange Hill,Lancaster Gate,5,654,1820,27586.98164
Lancaster Gate,Grange Hill,0,3514,76,27586.98164
Acton Town,Totteridge & Whetstone,1,3745,287,27587.77468
Totteridge & Whetstone,Acton Town,0,2301,2202,27587.77468
Hounslow Central,Northwood Hills,0,2213,488,27589.26805
Hampstead,Ruislip Gardens,0,1914,167,27590.82119
Pinner,Turnpike Lane,1,2875,992,27591.37374
Turnpike Lane,Pinner,0,6690,292,27591.37374
Cannon Street,Ruislip,0,3874,257,27592.11035
Ruislip,Cannon Street,2,1305,4698,27592.11035
Dagenham Heathway,West Brompton,10,3372,5859,27592.9854
West Brompton,Dagenham Heathway,1,3831,1108,27592.9854
Highgate,Hounslow Central,0,4589,708,27593.56048
Hounslow Central,Highgate,0,2213,856,27593.56048
Hornchurch,Oxford Circus,18,1708,44368,27594.6578
Oxford Circus,Hornchurch,0,2784,451,27594.6578
Greenford,Hendon Central,0,2711,1878,27596.90103
Hendon Central,Greenford,1,4059,1157,27596.90103
Bounds Green,Park Royal,6,4445,1552,27597.83983
Park Royal,Bounds Green,0,559,778,27597.83983
Turnpike Lane,Debden,0,6690,865,27601.3641
Ruislip Manor,Tower Hill,0,1399,8286,27603.43139
Tower Hill,Ruislip Manor,0,8501,408,27603.43139
Northwood,St. Paul's,12,2027,13446,27605.30316
St. Paul's,Northwood,0,878,1018,27605.30316
Cockfosters,Putney Bridge,2,1000,2494,27609.42689
Gants Hill,Ravenscourt Park,1,5243,1895,27611.26886
Ravenscourt Park,Gants Hill,0,1554,601,27611.26886
Loughton,West Hampstead,1,2730,5856,27611.46403
West Hampstead,Loughton,0,10371,655,27611.46403
Finchley Central,Redbridge,0,6268,198,27611.66241
Redbridge,Finchley Central,2,2062,1921,27611.66241
Brixton,Ruislip Gardens,2,23381,167,27611.81816
Ruislip Gardens,Brixton,1,965,5084,27611.81816
Ealing Broadway,Walthamstow Central,7,12853,5271,27612.30828
Walthamstow Central,Ealing Broadway,32,17499,4846,27612.30828
Bank and Monument,West Ruislip,1,29494,194,27617.34245
West Ruislip,Bank and Monument,82,1083,78549,27617.34245
Farringdon,Ickenham,1,5052,282,27617.3843
Ickenham,Farringdon,38,737,25592,27617.3843
Hounslow East,Tooting Broadway,2,2173,4506,27618.01196
Tooting Broadway,Hounslow East,0,9546,843,27618.01196
Newbury Park,Willesden Green,0,4212,830,27620.47054
Willesden Green,Newbury Park,1,5675,559,27620.47054
High Barnet,Stonebridge Park,0,3271,729,27620.8413
Baker Street,Croxley,6,7444,340,27628.16337
Croxley,Baker Street,39,1035,14973,27628.16337
East Finchley,Osterley,1,5840,521,27629.40208
Osterley,East Finchley,0,1421,1253,27629.40208
Rayners Lane,Wood Green,3,3452,2146,27630.79636
Wood Green,Rayners Lane,0,6667,426,27630.79636
Croxley,Willesden Junction,2,1035,4165,27635.8892
Willesden Junction,Croxley,0,5266,340,27635.8892
Balham,Buckhurst Hill,0,9619,228,27635.91126
Buckhurst Hill,Balham,0,1616,3814,27635.91126
Holloway Road,Northwood,0,3047,1018,27635.96976
Northwood,Holloway Road,1,2027,1696,27635.96976
Elm Park,Marylebone,1,2738,4250,27640.54928
Marylebone,Elm Park,0,6125,269,27640.54928
Moor Park,Warren Street,0,648,17309,27641.31784
Warren Street,Moor Park,0,1913,550,27641.31784
Elephant & Castle,West Ruislip,0,9325,194,27650.62574
West Ruislip,Elephant & Castle,3,1083,6427,27650.62574
Buckhurst Hill,West Brompton,0,1616,5859,27653.88073
West Brompton,Buckhurst Hill,0,3831,228,27653.88073
Hampstead,Hounslow West,0,1914,401,27656.21781
Hounslow West,Hampstead,1,2073,2010,27656.21781
Northwood,Sloane Square,8,2027,8229,27659.22958
Sloane Square,Northwood,0,4957,1018,27659.22958
Bow Road,Northolt,0,4005,663,27659.74023
Northolt,Bow Road,1,3585,1193,27659.74023
London Bridge,Ruislip,1,32597,257,27661.23689
Ruislip,London Bridge,18,1305,29930,27661.23689
Debden,Marble Arch,12,1636,6145,27661.57806
Marble Arch,Debden,0,1808,865,27661.57806
Willesden Junction,Woodford,0,5266,706,27665.57942
Woodford,Willesden Junction,1,4868,4165,27665.57942
Manor House,Sudbury Hill,0,5459,277,27669.33374
Sudbury Hill,Manor House,3,1337,1311,27669.33374
Canary Wharf,Northolt,2,14632,663,27670.49543
Northolt,Canary Wharf,48,3585,58772,27670.49543
East Putney,High Barnet,0,5448,953,27670.59343
High Barnet,East Putney,2,3271,1877,27670.59343
Newbury Park,West Kensington,1,4212,1345,27674.35821
West Kensington,Newbury Park,0,2715,559,27674.35821
Neasden,Woodford,0,2333,706,27674.75222
Woodford,Neasden,1,4868,732,27674.75222
Harrow-on-the-Hill,West Ham,3,6326,5487,27676.31574
West Ham,Harrow-on-the-Hill,2,8879,3019,27676.31574
Clapham South,Dagenham East,0,6636,649,27681.60912
Dagenham East,Clapham South,0,1924,1513,27681.60912
Greenford,North Greenwich,4,2711,6276,27681.81246
North Greenwich,Greenford,1,10931,1157,27681.81246
Ealing Common,East Ham,0,2003,2062,27682.60004
East Ham,Ealing Common,0,7902,915,27682.60004
Queensbury,Tooting Bec,2,2905,1239,27684.77467
Tooting Bec,Queensbury,0,6734,439,27684.77467
Hillingdon,Sloane Square,4,1337,8229,27686.10195
Sloane Square,Hillingdon,0,4957,318,27686.10195
Loughton,Queensway,4,2730,1882,27686.21278
Queensway,Loughton,0,2714,655,27686.21278
Northwood,Old Street,10,2027,15897,27686.94543
Old Street,Northwood,0,5364,1018,27686.94543
Ickenham,Waterloo,8,737,23466,27692.11586
Waterloo,Ickenham,0,67372,282,27692.11586
Harlesden,Uxbridge,3,1500,4316,27693.91886
Uxbridge,Harlesden,1,2764,1668,27693.91886
Chorleywood,Uxbridge,2,900,4316,27694.52126
Uxbridge,Chorleywood,1,2764,702,27694.52126
Blackfriars,Northwood,0,6781,1018,27695.90842
Northwood,Blackfriars,4,2027,10849,27695.90842
Blackhorse Road,Park Royal,3,8485,1552,27697.4366
Park Royal,Blackhorse Road,0,559,2955,27697.4366
St James Street,Richmond,0,1048,5397,27697.60506
Grange Hill,Paddington,2,654,20198,27704.63154
Paddington,Grange Hill,0,23381,76,27704.63154
Colindale,South Ealing,1,5389,670,27706.27906
South Ealing,Colindale,1,2176,2081,27706.27906
Ruislip,Vauxhall,3,1305,16242,27706.4359
Vauxhall,Ruislip,0,16218,257,27706.4359
Charing Cross,Hillingdon,0,6491,318,27706.7939
Hillingdon,Charing Cross,6,1337,7016,27706.7939
Elm Park,Knightsbridge,5,2738,6821,27706.80563
Knightsbridge,Elm Park,1,1125,269,27706.80563
Dagenham East,Notting Hill Gate,3,1924,5490,27707.39377
Notting Hill Gate,Dagenham East,0,4945,649,27707.39377
Hatton Cross,Oval,0,1357,2544,27707.82368
Oval,Hatton Cross,1,3619,1219,27707.82368
Northwood Hills,Tower Hill,2,1454,8286,27707.88956
Tower Hill,Northwood Hills,0,8501,488,27707.88956
Heathrow Terminals 2 & 3,West Hampstead,5,2199,5856,27708.92992
West Hampstead,Heathrow Terminals 2 & 3,3,10371,2406,27708.92992
Richmond,Watford High Street,2,5157,790,27709.73482
Watford High Street,Richmond,7,467,5397,27709.73482
Pinner,Stepney Green,1,2875,1879,27710.30289
Stepney Green,Pinner,0,2731,292,27710.30289
Heathrow Terminal 5,Victoria,16,938,33251,27712.08194
Victoria,Heathrow Terminal 5,26,37517,975,27712.08194
Debden,Marylebone,2,1636,4250,27712.65684
Marylebone,Debden,1,6125,865,27712.65684
Northwood,White City,1,2027,5966,27714.27344
White City,Northwood,0,2445,1018,27714.27344
Pinner,Tottenham Hale,0,2875,3239,27714.4843
Tottenham Hale,Pinner,0,8867,292,27714.4843
Colindale,Wimbledon,0,5389,6295,27714.97823
Wimbledon,Colindale,0,7073,2081,27714.97823
Grange Hill,Vauxhall,3,654,16242,27717.14765
Vauxhall,Grange Hill,0,16218,76,27717.14765
Ickenham,Temple,0,737,6780,27717.28153
Temple,Ickenham,0,349,282,27717.28153
Mill Hill East,South Wimbledon,3,1293,1361,27718.85695
South Wimbledon,Mill Hill East,0,3783,681,27718.85695
Aldgate East,Ruislip Manor,0,3172,408,27720.99506
Burnt Oak,Leytonstone,0,3021,1844,27721.18051
Leytonstone,Burnt Oak,2,6690,649,27721.18051
Holloway Road,Hornchurch,0,3047,451,27722.64299
Hornchurch,Holloway Road,0,1708,1696,27722.64299
Becontree,Willesden Green,1,2329,830,27724.03902
Willesden Green,Becontree,0,5675,456,27724.03902
Oakwood,North Acton,1,1772,3168,27724.28676
East Ham,Wembley Central,3,7902,1327,27725.85675
Wembley Central,East Ham,1,2246,2062,27725.85675
Edgware,Gunnersbury,1,3405,4775,27727.66735
Camden Road,Watford High Street,0,1207,790,27728.81315
Watford High Street,Camden Road,1,467,3784,27728.81315
Finchley Central,Morden,2,6268,1447,27729.90082
Morden,Finchley Central,7,8035,1921,27729.90082
Becontree,Kensal Green,0,2329,472,27733.07474
Kensal Green,Becontree,0,1849,456,27733.07474
Heathrow Terminals 2 & 3,Holborn,33,2199,22346,27733.26965
Holborn,Heathrow Terminals 2 & 3,19,1662,2406,27733.26965
Amersham,Eastcote,0,1190,364,27733.42236
Eastcote,Amersham,1,2525,256,27733.42236
Chigwell,Notting Hill Gate,2,471,5490,27736.54146
Notting Hill Gate,Chigwell,0,4945,148,27736.54146
Finchley Central,South Woodford,1,6268,766,27737.79766
South Woodford,Finchley Central,2,4138,1921,27737.79766
Northwood,Wood Lane,2,2027,1578,27738.0476
Wood Lane,Northwood,2,1088,1018,27738.0476
Highbury & Islington,Hillingdon,0,23714,318,27739.42537
Hillingdon,Highbury & Islington,3,1337,25385,27739.42537
Harrow & Wealdstone,Wood Green,1,1741,2146,27739.42947
Wood Green,Harrow & Wealdstone,0,6667,1335,27739.42947
Heathrow Terminals 2 & 3,Warren Street,4,2199,17309,27742.76121
Warren Street,Heathrow Terminals 2 & 3,3,1913,2406,27742.76121
Morden,Richmond,0,8035,5397,27743.32044
Richmond,Morden,0,5157,1447,27743.32044
Newbury Park,Shepherd's Bush,29,4212,9890,27744.27557
Shepherd's Bush,Newbury Park,2,10511,559,27744.27557
Northwick Park,Tooting Broadway,3,2114,4506,27749.83828
Tooting Broadway,Northwick Park,4,9546,1713,27749.83828
Euston,Heathrow Terminal 4,2,17796,693,27752.54416
Heathrow Terminal 4,Euston,7,811,16800,27752.54416
Sudbury Hill,Tooting Bec,0,1337,1239,27753.50675
Tooting Bec,Sudbury Hill,1,6734,277,27753.50675
Hillingdon,Russell Square,3,1337,5172,27754.32376
Russell Square,Hillingdon,0,1509,318,27754.32376
Barking,North Acton,14,8200,3168,27755.13063
North Acton,Barking,1,3078,7004,27755.13063
Hatton Cross,Wimbledon,10,1357,6295,27755.58391
Wimbledon,Hatton Cross,6,7073,1219,27755.58391
Leyton,Northfields,3,7651,864,27759.32596
Northfields,Leyton,1,2952,1447,27759.32596
East Ham,Kew Gardens,0,7902,792,27761.03391
Kew Gardens,East Ham,0,2241,2062,27761.03391
Chancery Lane,Heathrow Terminal 4,0,1148,693,27762.33511
Heathrow Terminal 4,Chancery Lane,0,811,15391,27762.33511
St. John's Wood,Watford,2,3240,961,27763.69768
Watford,St. John's Wood,9,1400,3982,27763.69768
Amersham,Wembley Park,5,1190,5759,27764.08768
Wembley Park,Amersham,5,7070,256,27764.08768
Elm Park,Sloane Square,12,2738,8229,27765.93529
Sloane Square,Elm Park,0,4957,269,27765.93529
Dagenham East,Hampstead,0,1924,2010,27767.05393
Hampstead,Dagenham East,0,1914,649,27767.05393
Upminster,Woodford,0,727,706,27771.56881
Woodford,Upminster,0,4868,1132,27771.56881
North Wembley,Upton Park,0,1087,1642,27773.76737
Upton Park,North Wembley,2,5963,365,27773.76737
Dagenham Heathway,Queen's Park,0,3372,2167,27776.64986
Queen's Park,Dagenham Heathway,0,5249,1108,27776.64986
Ladbroke Grove,Uxbridge,7,2371,4316,27781.77418
Uxbridge,Ladbroke Grove,4,2764,2131,27781.77418
Epping,Moorgate,1,2899,24574,27782.45716
Moorgate,Epping,0,4416,498,27782.45716
Covent Garden,Upminster Bridge,0,424,568,27783.16389
Upminster Bridge,Covent Garden,0,780,4355,27783.16389
Kentish Town,West Ruislip,0,2414,194,27783.29884
West Ruislip,Kentish Town,0,1083,3404,27783.29884
Elephant & Castle,Theydon Bois,0,9325,98,27786.8511
Theydon Bois,Elephant & Castle,1,677,6427,27786.8511
East Ham,Hanger Lane,9,7902,1493,27787.12905
Hanger Lane,East Ham,1,1996,2062,27787.12905
Hounslow West,Balham,0,2073,3814,27792.65318
Fairlop,Queensway,2,995,1882,27793.82401
Queensway,Fairlop,0,2714,182,27793.82401
Caledonian Road,Ickenham,0,2839,282,27794.08623
Ickenham,Caledonian Road,0,737,1803,27794.08623
Colindale,Oakwood,0,5389,423,27796.3175
Oakwood,Colindale,1,1772,2081,27796.3175
Grange Hill,Brixton,2,654,5084,27797.02948
Grange Hill,Clapham Common,0,654,2020,27805.35131
Barking,Chiswick Park,4,8200,1517,27806.1029
Chiswick Park,Barking,2,1283,7004,27806.1029
Hornchurch,Mornington Crescent,0,1708,2927,27807.07809
Mornington Crescent,Hornchurch,0,691,451,27807.07809
Clapham South,North Harrow,0,6636,190,27809.8374
North Harrow,Clapham South,0,1912,1513,27809.8374
Becontree,Parsons Green,2,2329,2711,27809.88484
Parsons Green,Becontree,0,4361,456,27809.88484
Northolt,Tooting Bec,1,3585,1239,27810.382
Tooting Bec,Northolt,1,6734,663,27810.382
Clapham Junction,Highams Park,0,6931,390,27813.30839
Highams Park,Clapham Junction,0,2941,4969,27813.30839
Hillingdon,Knightsbridge,8,1337,6821,27813.6949
Knightsbridge,Hillingdon,0,1125,318,27813.6949
Hainault,Lancaster Gate,19,3117,1820,27814.35795
Lancaster Gate,Hainault,0,3514,356,27814.35795
Woodford,Brent Cross,0,4868,450,27814.56401
Golders Green,Hounslow East,1,4792,843,27817.17564
Hounslow East,Golders Green,2,2173,1871,27817.17564
Great Portland Street,Hornchurch,0,1136,451,27819.75872
Hornchurch,Great Portland Street,3,1708,6936,27819.75872
Bounds Green,Richmond,11,4445,5397,27820.37006
Richmond,Bounds Green,0,5157,778,27820.37006
Gunnersbury,Snaresbrook,0,2274,512,27825.21141
Snaresbrook,Gunnersbury,1,1780,4775,27825.21141
Aldgate East,Northwood Hills,0,3172,488,27825.45323
Northwood Hills,Aldgate East,1,1454,7932,27825.45323
Leicester Square,Moor Park,0,985,550,27830.12488
Moor Park,Leicester Square,1,648,8847,27830.12488
Angel,Hatton Cross,1,4199,1219,27832.26001
Hatton Cross,Angel,6,1357,8103,27832.26001
Gunnersbury,Wanstead,0,2274,419,27834.51134
Wanstead,Gunnersbury,2,1985,4775,27834.51134
London Bridge,West Ruislip,4,32597,194,27835.99242
West Ruislip,London Bridge,11,1083,29930,27835.99242
Burnt Oak,East Ham,0,3021,2062,27836.23583
East Ham,Burnt Oak,1,7902,649,27836.23583
Southfields,Ruislip,0,5219,257,27837.73814
Leyton,Queensbury,0,7651,439,27840.91512
Queensbury,Leyton,0,2905,1447,27840.91512
Canary Wharf,West Harrow,0,14632,122,27841.41751
West Harrow,Canary Wharf,29,1021,58772,27841.41751
Eastcote,Heathrow Terminals 2 & 3,2,2525,2406,27841.91688
Heathrow Terminals 2 & 3,Eastcote,0,2199,364,27841.91688
Hillingdon,Holborn,11,1337,22346,27842.51935
Holborn,Hillingdon,0,1662,318,27842.51935
Heathrow Terminals 2 & 3,Wembley Central,0,2199,1327,27843.01122
Stanmore,Wood Green,1,2641,2146,27844.55802
Wood Green,Stanmore,1,6667,983,27844.55802
Colindale,South Wimbledon,4,5389,1361,27847.58667
South Wimbledon,Colindale,2,3783,2081,27847.58667
Mile End,Rayners Lane,0,7145,426,27848.17226
Rayners Lane,Mile End,4,3452,3759,27848.17226
Becontree,Wood Lane,0,2329,1578,27848.58897
Wood Lane,Becontree,0,1088,456,27848.58897
Farringdon,West Ruislip,0,5052,194,27853.10249
West Ruislip,Farringdon,2,1083,25592,27853.10249
Arnos Grove,South Wimbledon,1,3046,1361,27853.38714
South Wimbledon,Arnos Grove,1,3783,748,27853.38714
Stonebridge Park,Sydenham,0,1482,515,27855.15105
Bethnal Green,South Ruislip,3,6798,289,27856.85821
South Ruislip,Bethnal Green,4,1398,4660,27856.85821
Pinner,Walthamstow Central,0,2875,5271,27859.34231
Walthamstow Central,Pinner,0,17499,292,27859.34231
Barkingside,Earl's Court,3,1301,6613,27860.84734
Earl's Court,Barkingside,0,8414,262,27860.84734
Hounslow West,Wembley Park,1,2073,5759,27868.31984
Wembley Park,Hounslow West,1,7070,401,27868.31984
Redbridge,South Wimbledon,2,2062,1361,27873.22644
South Wimbledon,Redbridge,0,3783,198,27873.22644
Covent Garden,Hillingdon,0,424,318,27875.20817
Hillingdon,Covent Garden,3,1337,4355,27875.20817
Warwick Avenue,Loughton,0,2388,655,27878.339
Acton Town,Southgate,1,3745,874,27880.54118
Southgate,Acton Town,7,3660,2202,27880.54118
Arnos Grove,Harrow-on-the-Hill,3,3046,3019,27884.49564
Harrow-on-the-Hill,Arnos Grove,1,6326,748,27884.49564
Green Park,Hornchurch,0,2066,451,27887.28995
Hornchurch,Green Park,8,1708,26754,27887.28995
Belsize Park,Hainault,0,2744,356,27891.12444
Hainault,Belsize Park,1,3117,2255,27891.12444
Northwood,Pimlico,2,2027,5585,27893.34872
Pimlico,Northwood,1,3917,1018,27893.34872
Chancery Lane,Upminster,0,1148,1132,27895.52224
Upminster,Chancery Lane,13,727,15391,27895.52224
